DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AT,1994,7928746,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AT,1995,7943489,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AT,1996,7953067,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AT,1997,7964966,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AT,1998,7971116,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AT,1999,7982461,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AT,2000,8002186,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AT,2001,8020946,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AT,2002,8063640,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AT,2003,8100273,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AT,2004,8142573,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AT,2005,8201359.0,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AT,2006,8254298.0,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AT,2007,8282984.0,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AT,2008,8307989.0,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AT,2009,8335003.0,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AT,2010,8351643.0,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AT,2011,8375164,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AT,2012,8408121,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AT,2013,8451860,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,AT,2014,8507786,
