DATAFLOW,LAST UPDATE,freq,unit,co_nco,sector,finpos,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TIPSPD20(1.0),02/08/23 23:00:00,A,PC_GDP,CO,S11_S14_S15,LIAB,F3_F4,AT,1995,102.9,
ESTAT:TIPSPD20(1.0),02/08/23 23:00:00,A,PC_GDP,CO,S11_S14_S15,LIAB,F3_F4,AT,1996,104.2,
ESTAT:TIPSPD20(1.0),02/08/23 23:00:00,A,PC_GDP,CO,S11_S14_S15,LIAB,F3_F4,AT,1997,108.6,
ESTAT:TIPSPD20(1.0),02/08/23 23:00:00,A,PC_GDP,CO,S11_S14_S15,LIAB,F3_F4,AT,1998,109.1,
ESTAT:TIPSPD20(1.0),02/08/23 23:00:00,A,PC_GDP,CO,S11_S14_S15,LIAB,F3_F4,AT,1999,114.9,
ESTAT:TIPSPD20(1.0),02/08/23 23:00:00,A,PC_GDP,CO,S11_S14_S15,LIAB,F3_F4,AT,2000,121.4,
ESTAT:TIPSPD20(1.0),02/08/23 23:00:00,A,PC_GDP,CO,S11_S14_S15,LIAB,F3_F4,AT,2001,122.8,
ESTAT:TIPSPD20(1.0),02/08/23 23:00:00,A,PC_GDP,CO,S11_S14_S15,LIAB,F3_F4,AT,2002,122.2,
ESTAT:TIPSPD20(1.0),02/08/23 23:00:00,A,PC_GDP,CO,S11_S14_S15,LIAB,F3_F4,AT,2003,124.8,
ESTAT:TIPSPD20(1.0),02/08/23 23:00:00,A,PC_GDP,CO,S11_S14_S15,LIAB,F3_F4,AT,2004,122.9,
ESTAT:TIPSPD20(1.0),02/08/23 23:00:00,A,PC_GDP,CO,S11_S14_S15,LIAB,F3_F4,AT,2005,127.4,
ESTAT:TIPSPD20(1.0),02/08/23 23:00:00,A,PC_GDP,CO,S11_S14_S15,LIAB,F3_F4,AT,2006,122.3,
ESTAT:TIPSPD20(1.0),02/08/23 23:00:00,A,PC_GDP,CO,S11_S14_S15,LIAB,F3_F4,AT,2007,123.9,
ESTAT:TIPSPD20(1.0),02/08/23 23:00:00,A,PC_GDP,CO,S11_S14_S15,LIAB,F3_F4,AT,2008,126.7,
ESTAT:TIPSPD20(1.0),02/08/23 23:00:00,A,PC_GDP,CO,S11_S14_S15,LIAB,F3_F4,AT,2009,131.9,
ESTAT:TIPSPD20(1.0),02/08/23 23:00:00,A,PC_GDP,CO,S11_S14_S15,LIAB,F3_F4,AT,2010,132.3,
ESTAT:TIPSPD20(1.0),02/08/23 23:00:00,A,PC_GDP,CO,S11_S14_S15,LIAB,F3_F4,AT,2011,129.4,
ESTAT:TIPSPD20(1.0),02/08/23 23:00:00,A,PC_GDP,CO,S11_S14_S15,LIAB,F3_F4,AT,2012,128.2,
ESTAT:TIPSPD20(1.0),02/08/23 23:00:00,A,PC_GDP,CO,S11_S14_S15,LIAB,F3_F4,AT,2013,127.1,
ESTAT:TIPSPD20(1.0),02/08/23 23:00:00,A,PC_GDP,CO,S11_S14_S15,LIAB,F3_F4,AT,2014,124.8,
ESTAT:TIPSPD20(1.0),02/08/23 23:00:00,A,PC_GDP,CO,S11_S14_S15,LIAB,F3_F4,AT,2015,124.0,
ESTAT:TIPSPD20(1.0),02/08/23 23:00:00,A,PC_GDP,CO,S11_S14_S15,LIAB,F3_F4,AT,2016,123.3,
ESTAT:TIPSPD20(1.0),02/08/23 23:00:00,A,PC_GDP,CO,S11_S14_S15,LIAB,F3_F4,AT,2017,122.3,
