DATAFLOW,LAST UPDATE,freq,unit,sector,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:GOV_10DD_EDPT1(1.0),21/04/23 11:00:00,A,MIO_EUR,S13,GD,AT,2000,141245.5,
ESTAT:GOV_10DD_EDPT1(1.0),21/04/23 11:00:00,A,MIO_EUR,S13,GD,AT,2001,147154.2,
ESTAT:GOV_10DD_EDPT1(1.0),21/04/23 11:00:00,A,MIO_EUR,S13,GD,AT,2002,151295.9,
ESTAT:GOV_10DD_EDPT1(1.0),21/04/23 11:00:00,A,MIO_EUR,S13,GD,AT,2003,152688.1,
ESTAT:GOV_10DD_EDPT1(1.0),21/04/23 11:00:00,A,MIO_EUR,S13,GD,AT,2004,157985.4,
ESTAT:GOV_10DD_EDPT1(1.0),21/04/23 11:00:00,A,MIO_EUR,S13,GD,AT,2005,174403.5,
ESTAT:GOV_10DD_EDPT1(1.0),21/04/23 11:00:00,A,MIO_EUR,S13,GD,AT,2006,180270.0,
ESTAT:GOV_10DD_EDPT1(1.0),21/04/23 11:00:00,A,MIO_EUR,S13,GD,AT,2007,184674.5,
ESTAT:GOV_10DD_EDPT1(1.0),21/04/23 11:00:00,A,MIO_EUR,S13,GD,AT,2008,201809.9,
ESTAT:GOV_10DD_EDPT1(1.0),21/04/23 11:00:00,A,MIO_EUR,S13,GD,AT,2009,230014.6,
ESTAT:GOV_10DD_EDPT1(1.0),21/04/23 11:00:00,A,MIO_EUR,S13,GD,AT,2010,244696.8,
ESTAT:GOV_10DD_EDPT1(1.0),21/04/23 11:00:00,A,MIO_EUR,S13,GD,AT,2011,255683.8,
ESTAT:GOV_10DD_EDPT1(1.0),21/04/23 11:00:00,A,MIO_EUR,S13,GD,AT,2012,261040.8,
ESTAT:GOV_10DD_EDPT1(1.0),21/04/23 11:00:00,A,MIO_EUR,S13,GD,AT,2013,263229.5,
