DATAFLOW,LAST UPDATE,freq,unit,co_nco,sector,finpos,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,AT,1995,42.1,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,AT,1996,42.9,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,AT,1997,43.0,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,AT,1998,42.3,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,AT,1999,44.3,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,AT,2000,44.9,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,AT,2001,45.2,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,AT,2002,46.1,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,AT,2003,46.7,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,AT,2004,47.6,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,AT,2005,52.1,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,AT,2006,52.6,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,AT,2007,51.9,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,AT,2008,52.5,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,AT,2009,53.7,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,AT,2010,54.8,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,AT,2011,53.4,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,AT,2012,52.7,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,AT,2013,51.8,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,AT,2014,51.0,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,AT,2015,50.9,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,AT,2016,50.9,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,AT,2017,50.3,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,AT,2018,49.6,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,AT,2019,49.6,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,AT,2020,53.6,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,AT,2021,52.3,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,BE,2011,55.9,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,BE,2012,56.2,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,BE,2013,56.8,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,BE,2014,58.5,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,BE,2015,58.9,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,BE,2016,59.6,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,BE,2017,60.3,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,BE,2018,60.2,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,BE,2019,61.9,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,BE,2020,66.9,p
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,BE,2021,64.2,p
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,BE,2022,61.8,p
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,CY,1995,73.5,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,CY,1996,77.1,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,CY,1997,80.9,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,CY,1998,83.3,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,CY,1999,89.3,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,CY,2000,90.3,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,CY,2001,87.2,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,CY,2002,87.6,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,CY,2003,82.4,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,CY,2004,84.1,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,CY,2005,101.3,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,CY,2006,103.1,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,CY,2007,110.4,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,CY,2008,116.8,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,CY,2009,127.2,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,CY,2010,132.3,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,CY,2011,136.0,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,CY,2012,141.3,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,CY,2013,144.4,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,CY,2014,145.3,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,CY,2015,140.9,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,CY,2016,130.7,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,CY,2017,120.2,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,CY,2018,111.4,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,CY,2019,100.8,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,CY,2020,105.4,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,CY,2021,97.7,p
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,DE,1995,60.3,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,DE,1996,63.5,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,DE,1997,65.3,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,DE,1998,67.3,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,DE,1999,70.6,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,DE,2000,71.1,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,DE,2001,70.0,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,DE,2002,69.9,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,DE,2003,70.2,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,DE,2004,68.9,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,PC_GDP,CO,S14,LIAB,F,DE,2005,67.9,
