DATAFLOW,LAST UPDATE,freq,unit,co_nco,sector,finpos,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,MIO_EUR,CO,S14,LIAB,F,AT,1995,77238.8,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,MIO_EUR,CO,S14,LIAB,F,AT,1996,78653.1,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,MIO_EUR,CO,S14,LIAB,F,AT,1997,80326.1,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,MIO_EUR,CO,S14,LIAB,F,AT,1998,83084.6,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,MIO_EUR,CO,S14,LIAB,F,AT,1999,90406.5,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,MIO_EUR,CO,S14,LIAB,F,AT,2000,95981.2,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,MIO_EUR,CO,S14,LIAB,F,AT,2001,99728.0,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,MIO_EUR,CO,S14,LIAB,F,AT,2002,104433.5,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,MIO_EUR,CO,S14,LIAB,F,AT,2003,108332.0,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,MIO_EUR,CO,S14,LIAB,F,AT,2004,115411.2,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,MIO_EUR,CO,S14,LIAB,F,AT,2005,132332.0,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,MIO_EUR,CO,S14,LIAB,F,AT,2006,140861.6,
ESTAT:NASA_10_F_BS(1.0),15/09/23 11:00:00,A,MIO_EUR,CO,S14,LIAB,F,AT,2007,147304.7,
