DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,AT,2000,2.0,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,AT,2001,2.3,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,AT,2002,1.7,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,AT,2003,1.3,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,AT,2004,2.0,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,AT,2005,2.1,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,AT,2006,1.7,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,AT,2007,2.2,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,AT,2008,3.2,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,AT,2009,0.4,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,AT,2010,1.7,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,AT,2011,3.6,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,AT,2012,2.6,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,AT,2013,2.1,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,AT,2014,1.5,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,AT,2015,0.8,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,AT,2016,1.0,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,AT,2017,2.2,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,AT,2018,2.1,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,AT,2019,1.5,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,AT,2020,1.4,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,AT,2021,2.8,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,AT,2022,8.6,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,BE,2000,2.7,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,BE,2001,2.4,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,BE,2002,1.5,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,BE,2003,1.5,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,BE,2004,1.9,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,BE,2005,2.5,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,BE,2006,2.3,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,BE,2007,1.8,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,BE,2008,4.5,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,BE,2009,0.0,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,BE,2010,2.3,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,BE,2011,3.4,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,BE,2012,2.6,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,BE,2013,1.2,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,BE,2014,0.5,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,BE,2015,0.6,
