DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,Y_GE65,T,AT,1994,1185663,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,Y_GE65,T,AT,1995,1196874,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,Y_GE65,T,AT,1996,1208017,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,Y_GE65,T,AT,1997,1216448,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,Y_GE65,T,AT,1998,1224215,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,Y_GE65,T,AT,1999,1229715,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,Y_GE65,T,AT,2000,1233667,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,Y_GE65,T,AT,2001,1238016,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,Y_GE65,T,AT,2002,1249218,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,Y_GE65,T,AT,2003,1250479,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,Y_GE65,T,AT,2004,1260899,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,Y_GE65,T,AT,2005,1307945.0,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,Y_GE65,T,AT,2006,1357587.0,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,Y_GE65,T,AT,2007,1398599.0,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,Y_GE65,T,AT,2008,1424026.0,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,Y_GE65,T,AT,2009,1449077.0,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,Y_GE65,T,AT,2010,1473385.0,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,Y_GE65,T,AT,2011,1477599,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,Y_GE65,T,AT,2012,1496357,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,Y_GE65,T,AT,2013,1527257,
ESTAT:DEMO_PJANBROAD(1.0),03/07/23 23:00:00,A,NR,Y_GE65,T,AT,2014,1556658,
