	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	household_debt	household_debt	household_debt	household_debt	household_debt	household_debt	household_debt	household_debt	household_debt	household_debt
										
public_debt	9.90e-06	7.22e-06	6.03e-06	7.67e-06	1.38e-05	1.13e-05	1.13e-05	9.48e-06	5.23e-06	4.75e-06
	(6.26e-06)	(5.02e-06)	(9.22e-06)	(1.00e-05)	(1.45e-05)	(1.46e-05)	(1.46e-05)	(1.95e-05)	(2.02e-05)	(1.96e-05)
pop_working		7.05e-06***	7.11e-06***	7.18e-06***	9.23e-06***	9.22e-06***	9.22e-06***	9.30e-06***	9.96e-06***	9.18e-06***
		(1.10e-06)	(1.13e-06)	(1.20e-06)	(3.03e-06)	(3.00e-06)	(3.00e-06)	(2.88e-06)	(2.89e-06)	(2.37e-06)
taxes			1.83e-05	0.000164	5.60e-05	6.46e-05	6.46e-05	6.16e-05	6.98e-05	0.000223
			(9.32e-05)	(0.000184)	(0.000108)	(0.000123)	(0.000123)	(0.000115)	(0.000135)	(0.000176)
GDP				-2.03e-05	-0.000157	-0.000167	-0.000167	-0.000166	-0.000203	-0.000213
				(2.29e-05)	(0.000171)	(0.000176)	(0.000176)	(0.000177)	(0.000180)	(0.000150)
disposable_income					0.000174	0.000186	0.000186	0.000184	0.000221	0.000225
					(0.000199)	(0.000206)	(0.000206)	(0.000209)	(0.000212)	(0.000176)
inflation						-1.207	-1.207	-1.202	-0.0623	0.461
						(0.750)	(0.750)	(0.753)	(0.819)	(0.748)
pop65								9.63e-07	2.14e-07	-2.42e-06
								(3.57e-06)	(3.81e-06)	(4.23e-06)
interest_rate									-2.565***	-2.533***
									(0.789)	(0.727)
recession										13.14***
										(2.904)
Constant	48.91***	-31.51**	-32.66**	-32.13**	-54.87	-51.91	-51.91	-54.54*	-53.27	-43.39
	(2.661)	(11.85)	(12.34)	(14.26)	(33.30)	(32.36)	(32.36)	(29.81)	(31.46)	(25.21)
										
Observations	418	418	418	418	418	418	418	418	418	418
R-squared	0.026	0.083	0.084	0.092	0.117	0.148	0.148	0.148	0.212	0.313
Number of country	19	19	19	19	19	19	19	19	19	19
Robust standard errors in parentheses										
*** p<0.01, ** p<0.05, * p<0.1										
