	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	household_debt_n	household_debt_n	household_debt_n	household_debt_n	household_debt_n	household_debt_n	household_debt_n	household_debt_n	household_debt_n	household_debt_n
										
public_debt	0.404***	0.370***	0.180	0.152	0.135	0.135	0.135	0.0596	0.0606	0.0596
	(0.0950)	(0.0886)	(0.124)	(0.126)	(0.135)	(0.136)	(0.136)	(0.164)	(0.165)	(0.164)
pop_working		0.0902***	0.0989***	0.0976***	0.0917***	0.0917***	0.0917***	0.0949***	0.0948***	0.0933***
		(0.00789)	(0.00522)	(0.0110)	(0.0175)	(0.0176)	(0.0176)	(0.0173)	(0.0175)	(0.0172)
taxes			2.926**	0.437	0.744	0.743	0.743	0.621	0.620	0.908
			(1.048)	(1.415)	(1.462)	(1.459)	(1.459)	(1.435)	(1.426)	(1.553)
GDP				0.347**	0.737	0.738	0.738	0.761	0.769	0.750
				(0.128)	(1.100)	(1.104)	(1.104)	(1.100)	(1.106)	(1.055)
disposable_income					-0.495	-0.497	-0.497	-0.572	-0.580	-0.573
					(1.287)	(1.293)	(1.293)	(1.289)	(1.298)	(1.236)
inflation						224.3	224.3	431.2	186.7	1,172
						(1,492)	(1,492)	(1,487)	(933.6)	(746.7)
pop65								0.0394*	0.0395*	0.0346*
								(0.0200)	(0.0202)	(0.0189)
interest_rate									550.5	611.4
									(3,204)	(3,128)
recession										24,752**
										(11,497)
Constant	122,689***	-905,410***	-1.090e+06***	-1.099e+06***	-1.035e+06***	-1.035e+06***	-1.035e+06***	-1.142e+06***	-1.143e+06***	-1.124e+06***
	(40,389)	(105,021)	(66,841)	(113,980)	(183,698)	(183,334)	(183,334)	(181,138)	(181,450)	(173,692)
										
Observations	418	418	418	418	418	418	418	418	418	418
R-squared	0.591	0.717	0.777	0.811	0.813	0.813	0.813	0.817	0.817	0.821
Number of country	19	19	19	19	19	19	19	19	19	19
Robust standard errors in parentheses										
*** p<0.01, ** p<0.05, * p<0.1										
